"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr1348","Non-native-bird records from county bird reports, 1995-2009","doi:10.15468/6dlwsx","Records provided by Non-native-bird records from county bird reports, 1995-2009, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1348","","","","83"
"dr892","City of Edinburgh Natural Heritage Service - Bavelaw Marsh Bird Hide Records","doi:10.15468/w7obpz","Records provided by City of Edinburgh Natural Heritage Service - Bavelaw Marsh Bird Hide Records, accessed through NBN Atlas website.","Open Government Licence (OGL) OGL","For more information:  email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr892","","","","27"
"dr814","Isle of Wight Notable Species","doi:10.15468/sm4ety","Records provided by Isle of Wight Notable Species, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email lrc@iow.gov.uk, or https://registry.nbnatlas.org/public/show/dr814","","","","168"
"dp118","Norfolk Biodiversity Information Service","","Records provided by Norfolk Biodiversity Information Service, accessed through NBN Atlas website.","","For more information:  email enquiries.nbis@norfolk.gov.uk, or https://registry.nbnatlas.org/public/show/dp118","","","","2153"
"dr931","SEWBReC Birds (South East Wales)","doi:10.15468/qfainq","Records provided by SEWBReC Birds (South East Wales), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@sewbrec.org.uk, or https://registry.nbnatlas.org/public/show/dr931","","","","3243"
"dp115","Manx Biological Recording Partnership","","Records provided by Manx Biological Recording Partnership, accessed through NBN Atlas website.","","For more information:  email philippa.tomlinson@gov.im, or https://registry.nbnatlas.org/public/show/dp115","","","","4"
"dp116","National Trust","","Records provided by National Trust, accessed through NBN Atlas website.","","For more information:  email gordon.barker@nationaltrust.org.uk, or https://registry.nbnatlas.org/public/show/dp116","","","","81"
"dr1350","North East Scotland Birds (1883-2010)","doi:10.15468/o1okcz","Records provided by North East Scotland Birds (1883-2010), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1350","","This dataset is only available on the NBN Atlas at 1Km resolution. Users who wish to access data at a higher resolution and/or data relating to sensitive species should contact NESBReC directly. Data searches for commercial purposes will incur a service charge by NESBReC.","","533"
"dr1193","SER Species-based Surveys","doi:10.15468/q8qen3","Records provided by SER Species-based Surveys, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dr1193","","","","8"
"dr1354","Sheffield Bird Study Group (Yorkshire records)","doi:10.15468/ytwnad","Records provided by Sheffield Bird Study Group (Yorkshire records), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email rdrwilliams@blueyonder.co.uk, or https://registry.nbnatlas.org/public/show/dr1354","","","","72"
"dr1472","North Merseyside Local Species Data (DEFRA Grant 23169)","doi:10.15468/h5k3ix","Records provided by North Merseyside Local Species Data (DEFRA Grant 23169), accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY","For more information:  https://registry.nbnatlas.org/public/show/dr1472","","","","87"
"dp143","Scottish Ornithologists' Club, The","","Records provided by Scottish Ornithologists' Club, The, accessed through NBN Atlas website.","","For more information:  email mail@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dp143","","","","185"
"dr1236","National Trust Species Records","doi:10.15468/opc6g1","National Trust ([Insert download year]). National Trust Species Records. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0) CC0","For more information:  email gordon.barker@nationaltrust.org.uk, or https://registry.nbnatlas.org/public/show/dr1236","","","","81"
"dr1237","BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84.","doi:10.15468/huodzs","Records provided by BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1237","","","","672"
"dr841","Merseyside BioBank Active Naturalists (verified)","doi:10.15468/ugurj2","Merseyside BioBank (2020). Merseyside BioBank Active Naturalists (verified) www.merseysidebiobank.org.uk","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Info@MerseysideBioBank.org.uk, or https://registry.nbnatlas.org/public/show/dr841","","","","5"
"dr840","Fife Nature Records Centre combined dataset","10.15468/ccc1ip","Records provided by Fife Nature Records Centre combined dataset, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr840","","Fife Nature Records Centre offer information provision services, including tailored data searches.  Please contact Fife Nature directly to access higher resolution data and the most comprehensive and up-to-date data holdings","","21"
"dr1510","Natalie Harmsworth's Records (2010-2019)","","Natalie Harmsworth's Records (2010-2019), TWIC (2019)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr1510","","","","1"
"dr1758","Dr Mary Gillham Archive Project","10.15468/ajv47f","Dr Mary Gillham Archive Project, SEWBReC (2019)","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr1758","","","","7"
"dr1359","Species found in the NOMS estate 2005 - Present","doi:10.15468/wcx4is","Records provided by Species found in the NOMS estate 2005 - Present, accessed through NBN Atlas website.","Creative Commons Zero v1.0 (CC0) CC0","For more information:  email beatrice.finch@noms.gsi.gov.uk, or https://registry.nbnatlas.org/public/show/dr1359","","","","1"
"dr2449","British bird eggs in the collections of World Museum, National Museums Liverpool","10.15468/n75arp","World Museum, National Museums Liverpool ([Insert year of download). British bird eggs in the collections of World Museum, National Museums Liverpool.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2449","","","","1"
"dp147","Sheffield Bird Study Group","","Records provided by Sheffield Bird Study Group, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp147","","","","72"
"dr844","Merseyside BioBank (unverified)","doi:10.15468/iou2ld","Merseyside BioBank (2020) www.merseysidebiobank.org.uk","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Info@MerseysideBioBank.org.uk, or https://registry.nbnatlas.org/public/show/dr844","","","","32"
"dr1241","WTSWW Data: All Taxa (West Wales)","doi:10.15468/gaakk2","Records provided by WTSWW Data: All Taxa (West Wales), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Kate.jones@wwbic.org.uk, or https://registry.nbnatlas.org/public/show/dr1241","","","","16"
"dr1522","LWIC - Local Patch Project","","Records provided by LWIC - Local Patch Project, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr1522","","","","1"
"dr1402","Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups","doi:10.15468/2razk5","Records provided by Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email phillip.whelpdale@ywt.org.uk, or https://registry.nbnatlas.org/public/show/dr1402","","","","483"
"dp133","Record","","Records provided by Record, accessed through NBN Atlas website.","","For more information:  email Info@record-lrc.co.uk, or https://registry.nbnatlas.org/public/show/dp133","","","","1216"
"dr1248","NRW Regional Data: North Wales","doi:10.15468/krljpu","Records provided by NRW Regional Data: North Wales, accessed through NBN Atlas website.","Open Government Licence (OGL) OGL","For more information:  email record@cofnod.org.uk, or https://registry.nbnatlas.org/public/show/dr1248","","","","30"
"dp134","Staffordshire Ecological Record","","Records provided by Staffordshire Ecological Record, accessed through NBN Atlas website.","","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dp134","","","","28"
"dp130","Yorkshire Wildlife Trust","","Records provided by Yorkshire Wildlife Trust, accessed through NBN Atlas website.","","For more information:  email phillip.whelpdale@ywt.org.uk, or https://registry.nbnatlas.org/public/show/dp130","","","","483"
"dp131","Cofnod – North Wales Environmental Information Service","","Records provided by Cofnod – North Wales Environmental Information Service, accessed through NBN Atlas website.","","For more information:  email contactus@cofnod.org.uk, or https://registry.nbnatlas.org/public/show/dp131","","","","919"
"dp29","British Trust for Ornithology","","Records provided by British Trust for Ornithology, accessed through NBN Atlas website.","","For more information:  email info@bto.org, or https://registry.nbnatlas.org/public/show/dp29","","","","124563"
"dp137","Gloucestershire Centre for Environmental Records","","Records provided by Gloucestershire Centre for Environmental Records, accessed through NBN Atlas website.","","For more information:  email gcer@gloucestershirewildlifetrust.co.uk, or https://registry.nbnatlas.org/public/show/dp137","","","","54"
"dp139","Centre for Environmental Data and Recording","","Records provided by Centre for Environmental Data and Recording, accessed through NBN Atlas website.","","For more information:  email cedar.info@nmni.com, or https://registry.nbnatlas.org/public/show/dp139","","","","4"
