"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr1354","Sheffield Bird Study Group (Yorkshire records)","doi:10.15468/ytwnad","Records provided by Sheffield Bird Study Group (Yorkshire records), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email rdrwilliams@blueyonder.co.uk, or https://registry.nbnatlas.org/public/show/dr1354","","","","786"
"dr1231","Clyde Breeding Bird Tetrad Atlas 1985 - 1991 - non-sensitive species","doi:10.15468/bbfikt","Records provided by Clyde Breeding Bird Tetrad Atlas 1985 - 1991 - non-sensitive species, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email clive.mckay@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dr1231","","","","19"
"dp143","Scottish Ornithologists' Club, The","","Records provided by Scottish Ornithologists' Club, The, accessed through NBN Atlas website.","","For more information:  email mail@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dp143","","","","30"
"dr1236","National Trust Species Records","doi:10.15468/opc6g1","National Trust ([Insert download year]). National Trust Species Records. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0) CC0","For more information:  email gordon.barker@nationaltrust.org.uk, or https://registry.nbnatlas.org/public/show/dr1236","","","","37"
"dr1237","BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84.","doi:10.15468/huodzs","Records provided by BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1237","","","","1152"
"dr1512","Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Whole-farm surveys for yellowhammer and curlew","","Records provided by Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Whole-farm surveys for yellowhammer and curlew, accessed through NBN Atlas website.","Open Government Licence (OGL) OGL","For more information:  email Colin.Chapman@wales.gsi.gov.uk, or https://registry.nbnatlas.org/public/show/dr1512","","","","3"
"dp265","Leeds Museums and Galleries","","Records provided by Leeds Museums and Galleries, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp265","","","","1"
"dp146","Shire Group of Internal Drainage Boards","","Records provided by Shire Group of Internal Drainage Boards, accessed through NBN Atlas website.","","For more information:  email info@shiregroup-idbs.gov.uk, or https://registry.nbnatlas.org/public/show/dp146","","","","1"
"dr681","National Trust for Scotland Species Records","doi:10.15468/a5y1cz","National Trust for Scotland ([Insert download year]). National Trust for Scotland Species Records. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr681","","","","3"
"dr1758","Dr Mary Gillham Archive Project","10.15468/ajv47f","Dr Mary Gillham Archive Project, SEWBReC (2019)","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr1758","","","","19"
"dr1359","Species found in the NOMS estate 2005 - Present","doi:10.15468/wcx4is","Records provided by Species found in the NOMS estate 2005 - Present, accessed through NBN Atlas website.","Creative Commons Zero v1.0 (CC0) CC0","For more information:  email beatrice.finch@noms.gsi.gov.uk, or https://registry.nbnatlas.org/public/show/dr1359","","","","1"
"dr2449","British bird eggs in the collections of World Museum, National Museums Liverpool","10.15468/n75arp","World Museum, National Museums Liverpool ([Insert year of download). British bird eggs in the collections of World Museum, National Museums Liverpool.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2449","","","","8"
"dr689","Dorset Sites of Nature Conservation Interest (SNCI) species records pre 2000","doi:10.15468/qyg29v","Records provided by Dorset Sites of Nature Conservation Interest (SNCI) species records pre 2000, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email derc@dorsetcc.gov.uk , or https://registry.nbnatlas.org/public/show/dr689","","","","6"
"dp147","Sheffield Bird Study Group","","Records provided by Sheffield Bird Study Group, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp147","","","","786"
"dr449","Bird Conservation Targeting Project (BCTP) in the UK, 2006-2011","doi:10.15468/mep71d","""The following acknowledgements of copyright and database right ownership, must be included in a conspicuous position in all copies of data and outputs: """"Reproduced by permission of the Bird Conservation Targeting Project. © Bird Conservation Targeting Project, 2010 (a partnership between the British Trust for Ornithology (BTO), the Centre for Environmental Data and Recording (CEDaR), the Countryside Council for Wales (CCW), the Department of Agriculture and Rural Development (DARD), Forestry Commission England (FCE), Forestry Commission Wales (FCW), Forest Service (FS), Natural England (NE), Northern Ireland Environment Agency, the RSPB and Scottish Natural Heritage (SNH)). All rights reserved."""" 

The organisations contributing data to the project must also be acknowledged as follows: """"The Bird Conservation Targeting Project partners are grateful to the contributions of the data providers listed at www.rspb.org.uk/targeting"""", and to the many vounteers who collected these data.""","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr449","","","","2655"
"dr844","Merseyside BioBank (unverified)","doi:10.15468/iou2ld","Merseyside BioBank (2020) www.merseysidebiobank.org.uk","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Info@MerseysideBioBank.org.uk, or https://registry.nbnatlas.org/public/show/dr844","","","","38"
"dr1241","WTSWW Data: All Taxa (West Wales)","doi:10.15468/gaakk2","Records provided by WTSWW Data: All Taxa (West Wales), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Kate.jones@wwbic.org.uk, or https://registry.nbnatlas.org/public/show/dr1241","","","","19"
"dp133","Record","","Records provided by Record, accessed through NBN Atlas website.","","For more information:  email Info@record-lrc.co.uk, or https://registry.nbnatlas.org/public/show/dp133","","","","1821"
"dr1402","Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups","doi:10.15468/2razk5","Records provided by Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email phillip.whelpdale@ywt.org.uk, or https://registry.nbnatlas.org/public/show/dr1402","","","","1134"
"dr1248","NRW Regional Data: North Wales","doi:10.15468/krljpu","Records provided by NRW Regional Data: North Wales, accessed through NBN Atlas website.","Open Government Licence (OGL) OGL","For more information:  email record@cofnod.org.uk, or https://registry.nbnatlas.org/public/show/dr1248","","","","11"
"dp134","Staffordshire Ecological Record","","Records provided by Staffordshire Ecological Record, accessed through NBN Atlas website.","","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dp134","","","","154"
"dr1125","Distribution of Species of Conservation Interest in Greater Manchester","","Records provided by Distribution of Species of Conservation Interest in Greater Manchester, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email suzanne.waymont@tameside.gov.uk, or https://registry.nbnatlas.org/public/show/dr1125","","","","173"
"dr1763","NRA River corridor survey data from 1990s - River Colne and Tributaries","doi:10.15468/xfcxd4","Records provided by NRA River corridor survey data from 1990s - River Colne and Tributaries, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1763","","Paper records and scanned copies of the original dataset are held by Essex Wildlife Trust Biological Records centre; www.essexwtrecords.org.uk. See also Essex Rivers Hub http://www.essexrivershub.org.uk/ for further information on this catchment","","6"
"dp130","Yorkshire Wildlife Trust","","Records provided by Yorkshire Wildlife Trust, accessed through NBN Atlas website.","","For more information:  email phillip.whelpdale@ywt.org.uk, or https://registry.nbnatlas.org/public/show/dp130","","","","1134"
"dr1524","Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Field-scale surveys for breeding yellowhammer","","Records provided by Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Field-scale surveys for breeding yellowhammer, accessed through NBN Atlas website.","Open Government Licence (OGL) OGL","For more information:  email Colin.Chapman@wales.gsi.gov.uk, or https://registry.nbnatlas.org/public/show/dr1524","","","","1"
"dp131","Cofnod – North Wales Environmental Information Service","","Records provided by Cofnod – North Wales Environmental Information Service, accessed through NBN Atlas website.","","For more information:  email contactus@cofnod.org.uk, or https://registry.nbnatlas.org/public/show/dp131","","","","354"
"dp29","British Trust for Ornithology","","Records provided by British Trust for Ornithology, accessed through NBN Atlas website.","","For more information:  email info@bto.org, or https://registry.nbnatlas.org/public/show/dp29","","","","69326"
"dp137","Gloucestershire Centre for Environmental Records","","Records provided by Gloucestershire Centre for Environmental Records, accessed through NBN Atlas website.","","For more information:  email gcer@gloucestershirewildlifetrust.co.uk, or https://registry.nbnatlas.org/public/show/dp137","","","","102"
